DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
2020-0362-SSD,Flood,SSD,South Sudan,2020-07-01,2020-12-01,,1042000,Western Equatoria,SSD_Western Equatoria
2020-0362-SSD,Flood,SSD,South Sudan,2020-07-01,2020-12-01,,1042000,Upper Nile,SSD_Upper Nile
2021-0343-ETH,Flood,ETH,Ethiopia,2021-05-01,2021-05-31,16,,,
2021-0481-SSD,Flood,SSD,South Sudan,2021-05-01,2021-10-07,7,835000,Unity,SSD_Unity
2021-0481-SSD,Flood,SSD,South Sudan,2021-05-01,2021-10-07,7,835000,Northern Bahr El Ghazal,SSD_Northern Bahr el Gha
2021-0481-SSD,Flood,SSD,South Sudan,2021-05-01,2021-10-07,7,835000,Western Equatoria,SSD_Western Equatoria
2021-0481-SSD,Flood,SSD,South Sudan,2021-05-01,2021-10-07,7,835000,Upper Nile,SSD_Upper Nile
2022-0445-SDN,Flood,SDN,Sudan,2022-05-10,2022-09-30,146,349000,Western Darfur,SDN_West Darfur
2022-0445-SDN,Flood,SDN,Sudan,2022-05-10,2022-09-30,146,349000,White Nile,SDN_White Nile
2022-0445-SDN,Flood,SDN,Sudan,2022-05-10,2022-09-30,146,349000,Southern Kordofan,SDN_South Kordofan
2022-0445-SDN,Flood,SDN,Sudan,2022-05-10,2022-09-30,146,349000,Kassala,SDN_Kassala
2022-0445-SDN,Flood,SDN,Sudan,2022-05-10,2022-09-30,146,349000,,SDN_Sennar
2022-0481-UGA,Flood,UGA,Uganda,2022-07-30,2022-08-05,32,78328,Bulambuli,UGA_Eastern Region
2023-0267-RWA,Flood,RWA,Rwanda,2023-05-01,2023-05-03,131,51905,,
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Arusha,TZA_Arusha
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Morogoro,TZA_Morogoro
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Pwani,TZA_Pwani
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Mbeya,TZA_Mbeya
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Geita,TZA_Geita
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Tanga,TZA_Tanga
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Rukwa,TZA_Rukwa
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Lindi,TZA_Lindi
2024-0203-TZA,Flood,TZA,United Republic of Tanzania,2024-04-02,2024-05-02,155,200000,Njombe,TZA_Njombe
2024-0271-RWA,Flood,RWA,Rwanda,2024-04-20,2024-05-02,14,,,
2025-0735-SDN,Flood,SDN,Sudan,2025-08-27,2025-08-28,32,10000,River Nile,SDN_River Nile
2025-0764-SSD,Flood,SSD,South Sudan,2025-06-01,2025-09-05,20,960000,Central Equatoria,SSD_Central Equatoria
2025-0764-SSD,Flood,SSD,South Sudan,2025-06-01,2025-09-05,20,960000,Upper Nile,SSD_Upper Nile
2025-0764-SSD,Flood,SSD,South Sudan,2025-06-01,2025-09-05,20,960000,Unity,SSD_Unity
2025-0764-SSD,Flood,SSD,South Sudan,2025-06-01,2025-09-05,20,960000,Western Equatoria,SSD_Western Equatoria
2025-0764-SSD,Flood,SSD,South Sudan,2025-06-01,2025-09-05,20,960000,Warrap,SSD_Warrap
2013-0425-SSD,Flood,SSD,South Sudan,2013-10-23,2013-10-23,1,156000,Northern Bahr El Ghazal,SSD_Northern Bahr el Gha
2013-0425-SSD,Flood,SSD,South Sudan,2013-10-23,2013-10-23,1,156000,Western Bahr El Ghazal,SSD_Western Bahr el Ghaz
2014-0042-TZA,Flood,TZA,United Republic of Tanzania,2014-01-22,2014-01-23,3,20000,,
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Blue Nile,SDN_Blue Nile
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Khartoum,SDN_Khartoum
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Northern,SDN_Northern
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Northern Darfur,SDN_North Darfur
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Sennar,SDN_Sennar
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Western Darfur,SDN_West Darfur
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,White Nile,SDN_White Nile
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Southern Kordofan,SDN_South Kordofan
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Kassala,SDN_Kassala
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Northern Kordofan,SDN_North Kordofan
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,Gadaref,SDN_Gedaref
2014-0264-SDN,Flood,SDN,Sudan,2014-07-25,2014-09-01,39,266000,,SDN_South Darfur
